"Freq [GHz]","ECC12 []","ECC13 []","ECC14 []","ECC23 []","ECC24 []","ECC34 []"
4.8,0.00358488287377172,0.000813192921559427,0.00352825945909647,0.00340303267147394,0.000813969243729864,0.00346754591174323
4.82,0.00318646201664514,0.000637833843060619,0.00313644160576981,0.00302226723485075,0.000638599427327942,0.0030805076613069
4.84,0.00280590601445958,0.000489379414717689,0.00276278961137785,0.00265926785304996,0.000490176390917611,0.00271175535201129
4.86,0.00244499524906058,0.000366662414620018,0.00240889794457018,0.00231561125974508,0.000367516252727834,0.00236282241685454
4.88,0.00210541116887247,0.000267972423975947,0.00207625605313083,0.0019927741096257,0.000268891476188311,0.00203513597029136
4.9,0.00178867349160716,0.00019108395357217,0.00176619342492093,0.00169207652401109,0.000192061927503161,0.0017299631083736
4.92,0.00149608057703273,0.000133337395321057,0.00147982843183967,0.00141462933271675,0.000134358694334323,0.00144836116642654
4.94,0.00122866054203122,9.17789823233633e-05,0.00121802784002989,0.00116129213559533,9.28263466305383e-05,0.00119113874658267
4.96,0.000987141321671753,6.3359266373711e-05,0.000981384396550376,0.000932649859203918,6.44226363375448e-05,0.000958834828895279
4.98,0.000771947415765227,4.51809691025152e-05,0.000770219452714896,0.000729015008139257,4.62660957052918e-05,0.00075172281102995
5,0.000583229338214152,3.47777955380769e-05,0.000584616019567618,0.000550461162742268,3.59129759065281e-05,0.000569844748760623
5.02,0.000420928922513719,3.03979598836486e-05,0.000424485081022034,0.000396890571526211,3.16374769734729e-05,0.000413078503925427
5.04,0.000284880062844839,3.12620623912556e-05,0.000289664802177971,0.000268135338261574,3.26854758610244e-05,0.000281237333576002
5.06,0.000174940865885778,3.77664449418075e-05,0.000180049070164145,0.000164088347530892,3.94737253977455e-05,0.000174198273925587
5.08,9.11503142927857e-05,5.16109447741046e-05,9.57392701476655e-05,8.48574150740222e-05,5.37143751560477e-05,9.20531530174377e-05
5.1,3.39010238859839e-05,7.58431025233627e-05,3.72118876827237e-05,3.0934763508575e-05,7.84576421539211e-05,3.52747553754165e-05
5.12,4.11982628965646e-06,0.000114826752328831,5.4947220558375e-06,3.37408464379406e-06,0.000118060938160645,4.89083676006384e-06
5.14,3.44966473208016e-06,0.000174157826821358,2.34613319023964e-06,3.96907043472265e-06,0.000178107112979985,2.66029872946829e-06
5.16,3.44292941593401e-05,0.000260560199161038,3.0434475827024e-05,3.54299865297423e-05,0.000265303838063219,3.12485770789914e-05
5.18,0.000100671068416745,0.000381795839810542,9.35181842380215e-05,0.00010155807293375,0.000387396949206026,9.44027894338597e-05
5.2,0.000207041383634828,0.000546612774164267,0.000196630311668262,0.000207420715361323,0.000553118997108997,0.000197131197549467
5.22,0.000359853336847995,0.000764725084029047,0.000346274174619009,0.000359532934835378,0.000772163897098506,0.000345896321955789
5.24,0.000567088105486752,0.0010467567935275,0.000550638501237134,0.000566052358487027,0.00105511448472858,0.000548837893642184
5.26,0.000838673905460755,0.00140394959408252,0.000819840169180479,0.000836995130186602,0.00141311603078699,0.000816054326812408
5.28,0.00118687740275534,0.00184714792737634,0.00116619855953991,0.00118447962148817,0.00185680368892814,0.00115999841018608
5.3,0.00162692042305107,0.00238395138406174,0.0016045362372531,0.00162300843269482,0.00239338739872529,0.00159610501279029
5.32,0.00217805861397974,0.00301164175975412,0.00215249426185103,0.0021698352052167,0.00301960045596185,0.00214390744711326
5.34,0.00286557532542681,0.00370133421221566,0.00283091633923003,0.00284565648776485,0.00370633248181109,0.00282916485884654
5.36,0.0037242791887765,0.00436758999560305,0.0036648313271051,0.00367668448437166,0.00437011297999776,0.00368779163836051
5.38,0.00480308221723878,0.00482893111164767,0.00468754426541387,0.0047018030101117,0.00483758635766911,0.0047715785831097
5.4,0.00616635153670146,0.00481842745066918,0.00595505133078574,0.00599335272486441,0.0048563530840392,0.00615137278911141
5.42,0.00789141319447837,0.00417327965635856,0.00757828930621249,0.00769559241790194,0.00426337704939592,0.00791349067019501
5.44,0.010107171374617,0.00311228217972781,0.00975808562844634,0.0100509077490083,0.00324192842855458,0.0101884204869525
5.46,0.0130736125635049,0.00208841298167464,0.0127627594549801,0.0133531731365344,0.00223348057670083,0.0132320278249332
5.48,0.0164888200073186,0.00154062121442523,0.0162361184460305,0.0172240136735278,0.00174491632675411,0.0167856997535357
5.5,0.0156184749189158,0.0033943154929211,0.0155413544843926,0.0166287276041354,0.00389383762059709,0.0161378645277207
5.52,0.0103936670753697,0.0115843972506797,0.0105319645504902,0.0111359058017416,0.0122686292359666,0.0108650421557917
5.54,0.00968521172677171,0.0189416285822649,0.00986409999797984,0.0102388125768437,0.0192080835761006,0.0100278458538137
5.56,0.0111580913957295,0.0241121838790614,0.0113215042861763,0.0116486232661578,0.0240259333563671,0.0114329371756415
5.58,0.0130365352060063,0.0293460236059939,0.013172696684797,0.0134983624346937,0.0290425144950139,0.013277341635049
5.6,0.014786754489394,0.0354473631577153,0.0148958444258969,0.0152283605882874,0.0350034801372865,0.0150109999656758
5.62,0.0161730098431406,0.0426601299374897,0.0162594544279697,0.01659670551117,0.042119218547262,0.0163898987253097
5.64,0.0170356111865375,0.0510403806907408,0.0171052108421887,0.0174426979350221,0.0504284947744057,0.0172491481841433
5.66,0.0172595065281122,0.0605135846715723,0.0173179556773592,0.0176518124342901,0.0598455201544479,0.0174699572052588
5.68,0.0167882653515858,0.0708544671920893,0.0168402546923259,0.017168487675541,0.0701354429517352,0.0169931794714072
5.7,0.015643822733341,0.0816621959262725,0.0156925845086025,0.0160151687076775,0.0808886976370091,0.0158390599068859
5.72,0.0139342849147425,0.09236708647573,0.0139815962936989,0.0142995654365727,0.0915290283184635,0.0141151436055154
5.74,0.011840957375671,0.10229139339002,0.0118875429550204,0.0122014035737193,0.101376456815709,0.012003293685753
5.76,0.00958531539637282,0.110764663948423,0.00963143917950894,0.00993957520690819,0.109764033911399,0.00972642595241115
5.78,0.00738589055652168,0.117264055126786,0.00743185042571857,0.00772970025229885,0.116177459075319,0.00750495399257776
5.8,0.00541925292294854,0.121529978973708,0.00546557510228981,0.00574607940206905,0.120367932993249,0.0055172657335621
5.82,0.00379628008080935,0.123614595690101,0.00384361885209451,0.00409887784792937,0.122397175834435,0.00387560717917103
5.84,0.00255746407581551,0.123852137590896,0.00260641145649012,0.00282996092697732,0.122605226731484,0.00262124746935256
5.86,0.00168406173887876,0.122773130861575,0.00173514332651695,0.0019239921479569,0.121523482868886,0.00173572587300535
5.88,0.0011184868475975,0.120995875715472,0.00117252224191426,0.00132812667525656,0.119765274803152,0.00116145547226801
5.9,0.000787076575081842,0.119110976785091,0.000845835071055408,0.000973475155668069,0.11790898638675,0.000824643193201871
5.92,0.00061879714751233,0.117545069255737,0.000685499589603335,0.000792102139282705,0.116361904239039,0.000653936348774123
5.94,0.000553231846223659,0.116391635269271,0.000631976384144798,0.000723283469281769,0.115197007888977,0.000588043476665584
5.96,0.000534407489405959,0.115271909435155,0.000627522571851995,0.000706229906034967,0.114026236259968,0.000569074128863831
5.98,0.000501711628090258,0.113392399415831,0.000605579791406436,0.000671721284586489,0.112068743195735,0.000533713103430882
6,0.000404122653112162,0.109915413791042,0.000506857108176501,0.000559696606869106,0.108519409431066,0.000429217408973357
6.02,0.000239334587571435,0.104444067069646,0.000323598804594457,0.000362566394071555,0.103017729777243,0.000254412703971558
6.04,7.14519125110877e-05,0.0971910930378931,0.000120714492208776,0.000144455188962924,0.0958002537918475,7.68647260711233e-05
6.06,7.01098621212476e-07,0.0886946334160968,3.83302681743821e-06,9.05401070972e-06,0.0874136134638006,2.25451062821581e-07
6.08,0.000122953785400181,0.0793943867677218,7.46920762135016e-05,5.61898960931873e-05,0.0782986052232149,0.000122313210819665
6.1,0.000515535060010922,0.0693873174515915,0.000413883838143363,0.00036563313211338,0.0685516696662256,0.000521127595748627
6.12,0.00122887117893634,0.0584265512917007,0.00107091078301559,0.000988600836396492,0.0579189419233199,0.00124673147830109
6.14,0.00220621940547947,0.0461166658810259,0.00198364527617812,0.00187149671480352,0.0459763104283427,0.00223894166067325
6.16,0.0030426374872645,0.0323255456861893,0.0027448044930768,0.00263004872695956,0.0325242314260187,0.00308192085037936
6.18,0.00291099153675337,0.0181018300468775,0.00255848598101049,0.00249816200271301,0.0184884914880368,0.00293944038174268
6.2,0.00174234432761742,0.00681630303851968,0.00142645172352589,0.00145135693070324,0.00711267280178532,0.00176219053326851
6.22,0.000745003981348781,0.00127053263412746,0.000541035487816353,0.000605076189038329,0.0013461414753843,0.00076503049908064
6.24,0.000314017801135287,9.43172122692966e-07,0.000207642503707426,0.000268758121920655,9.36375303087518e-07,0.000327504693868939
6.26,0.000157599296446255,0.000471271009842649,0.000109281667700078,0.000160042888637227,0.000525478041711158,0.000160747323066432
6.28,9.77010472999641e-05,0.00115931235439718,8.01654169830609e-05,0.000122950824869254,0.0012589041861166,9.21653526051648e-05
6.3,7.36918841138837e-05,0.00147131945351322,7.11924690572899e-05,0.00010810688086623,0.0015600492568031,6.2144634363865e-05
6.32,6.45480690665728e-05,0.00139623247417915,6.78377717122568e-05,0.000100139267368755,0.00144628057279439,4.88869778812496e-05
6.34,6.16436904574006e-05,0.00112014471664453,6.52753943255287e-05,9.38684865386952e-05,0.00113497036831237,4.31484706662895e-05
6.36,6.07171406816493e-05,0.000802968055467458,6.18022437133166e-05,8.7374810722284e-05,0.000797080062799359,4.05157249676276e-05
6.38,5.93474421577336e-05,0.000527693774609504,5.68264700805381e-05,7.98295728514513e-05,0.000513925802487712,3.86274896699261e-05
6.4,5.6120210791737e-05,0.000320651926544807,5.02039430534908e-05,7.08318406303968e-05,0.000306717535409645,3.61252929320591e-05
6.42,5.03378670778746e-05,0.000179397775620929,4.2043775298287e-05,6.02468548685624e-05,0.000168645709278422,3.22703582322949e-05
6.44,4.1918668265023e-05,9.08082576209047e-05,3.26830405024039e-05,4.82119079729156e-05,8.3894278263633e-05,2.68153875289317e-05
6.46,3.13761298891161e-05,4.00503583971027e-05,2.27226680402469e-05,3.52028277100743e-05,3.63276405694471e-05,1.99794671598923e-05
6.48,1.98406898817203e-05,1.41958448389696e-05,1.30854387342676e-05,2.21283259233481e-05,1.26069292169798e-05,1.24715747447105e-05
6.5,9.10142088035084e-06,3.25974646630228e-06,5.0790550436907e-06,1.04392224560352e-05,2.81879306008303e-06,5.53846078528248e-06
6.52,1.6471244207973e-06,1.65399228092427e-07,4.51914911814878e-07,2.24116748730184e-06,1.63894951555604e-07,1.01900697511491e-06
6.54,6.85698446059379e-07,3.30085433484611e-07,1.42855467119079e-06,3.96065099290097e-07,3.73189583842178e-07,1.38638642178861e-06
6.56,1.01232553120633e-05,1.15105330773075e-06,1.07113215254523e-05,8.59479171308399e-06,1.10019098924774e-06,9.75831921547828e-06
6.58,3.44937526006906e-05,1.48775657417072e-06,3.14383320792957e-05,3.13864687445028e-05,1.3625736577695e-06,2.98584636673674e-05
6.6,7.88496057976602e-05,1.16963874941126e-06,6.70984891374718e-05,7.41623328919986e-05,1.04774050018358e-06,6.5922076394614e-05
6.62,0.000148658109245414,5.46520020570065e-07,0.000121425904042188,0.000143120605257586,4.8796695306599e-07,0.000122560107467869
6.64,0.0002498043001017,1.06386777121682e-07,0.000198334017574446,0.000245289061171279,1.18234871489245e-07,0.000204632196170183
6.66,0.00038889484308382,1.94283621047925e-07,0.000302017232062288,0.000388763380121277,2.3751637084897e-07,0.000317239260039101
6.68,0.000574235471836529,8.6742314802075e-07,0.00043748420769911,0.000583445559122366,8.95823910075821e-07,0.000466055297280737
6.7,0.000818231435811044,1.91766434942705e-06,0.000612112042085609,0.000842730051259136,1.92845469960385e-06,0.000658447383616388
6.72,0.0011427319194707,3.10687871586667e-06,0.000839684494956799,0.00118649178352254,3.18141410482257e-06,0.000906360528118946
6.74,0.00158946906717538,4.84517172720051e-06,0.00115076691887207,0.00164287913824281,5.18618536863472e-06,0.00123295925667481
6.76,0.00222756612425685,1.15718765103232e-05,0.0016178407889708,0.00222527672871047,1.27029375912107e-05,0.00168413140419504
6.78,0.00305541527265153,6.52179820124659e-05,0.00238682720788367,0.00279008314138712,6.83934293247166e-05,0.00232262532535395
6.8,0.00364355642324616,0.000451724876962223,0.00355271789746331,0.00299273914493343,0.000447522759556631,0.00316534378755887
6.82,0.003716539320928,0.00128249276457807,0.00477601371665327,0.00299416647454643,0.001221325348274,0.00404337827721319
6.84,0.0035462630382431,0.00137510291991066,0.00516059228316622,0.00288682664647271,0.00129964459627357,0.00425059207092914
6.86,0.00332275673199332,0.000957474831154759,0.00478730665155278,0.00281379185097017,0.000909043803908756,0.00402316126445112
6.88,0.00325399991236815,0.000629242098857698,0.00445173045699158,0.00290963367022288,0.000598811513078924,0.0039241549467317
6.9,0.00332930910270117,0.00043396405953853,0.00433059080132125,0.00312545196688189,0.000413579093766235,0.00400110312655943
6.92,0.00348793058958789,0.000315480918954999,0.00436045777528469,0.00340343153152817,0.000301451647118395,0.00418465673725337
6.94,0.00369017378387989,0.000238710790665331,0.00447890313734994,0.0037115193160588,0.000229133222834897,0.00442637320285946
6.96,0.00391417238665224,0.000186186573233756,0.00464798238708017,0.004033109193558,0.000179886556007021,0.00469925222374953
6.98,0.00414748930167489,0.000149078760323141,0.0048453154956948,0.00435889993095551,0.000145229769923258,0.00498772022187871
7,0.00438230481231883,0.000122626461172309,0.00505683255209664,0.00468289827159148,0.000120603099513685,0.00528179102013807
7.02,0.00461298976363597,0.000104074524696996,0.00527277070708976,0.00500051982927325,0.000103390242358537,0.00557413665635619
7.04,0.00483487458080336,9.17426439711579e-05,0.00548556459886071,0.00530764376821219,9.2017149017725e-05,0.00585860383733213
7.06,0.00504361384739802,8.46023268631349e-05,0.00568872684957638,0.00560011971467149,8.55371128452312e-05,0.00612944071856896
7.08,0.00523487027394824,8.20870166623152e-05,0.00587626115387476,0.00587351397315472,8.34401738358149e-05,0.00638090004495368
7.1,0.00540419203193567,8.40081105672125e-05,0.00604238637833163,0.00612300514628853,8.55653587640912e-05,0.00660706851159659
7.12,0.00554702528220349,9.05130045816338e-05,0.00618146361152387,0.00634339245719222,9.20550080206057e-05,0.0068018546724242
7.14,0.00565883366802066,0.000102050150107637,0.0062880710931671,0.00652920294812784,0.000103318152521214,0.00695910423601559
7.16,0.00573530790683114,0.000119320655001767,0.00635719481542762,0.00667489202535689,0.000119983837006583,0.00707282588411595
7.18,0.00577264986037812,0.00014320473926709,0.00638450949778141,0.00677513185256402,0.000142833579735132,0.00713751298360455
7.2,0.00576791068929008,0.000174658108750475,0.00636672256698998,0.00682517659627019,0.000172708376784891,0.00714854145054762
