"Freq [GHz]","dB10(TARC) []"
4.8,-1.37059165539419
4.82,-1.50600593399173
4.84,-1.65675302327898
4.86,-1.82464684162554
4.88,-2.01170739010616
4.9,-2.22018373297014
4.92,-2.45258103585588
4.94,-2.71169249409382
4.96,-3.00063610611777
4.98,-3.3228935185955
5,-3.68234116036585
5.02,-4.08324711010303
5.04,-4.53016806085968
5.06,-5.02759043030177
5.08,-5.57895254479652
5.1,-6.18422393910871
5.12,-6.83429572648326
5.14,-7.49921079955382
5.16,-8.10884351769881
5.18,-8.54119559925416
5.2,-8.66837738365126
5.22,-8.46678645138876
5.24,-8.04272169711563
5.26,-7.52888375603441
5.28,-7.01132718437437
5.3,-6.52992073325013
5.32,-6.09883568286967
5.34,-5.72115713033166
5.36,-5.39649386776722
5.38,-5.1249458163995
5.4,-4.90997656153399
5.42,-4.76202578390824
5.44,-4.70391788938223
5.46,-4.76596013252591
5.48,-4.80708164435995
5.5,-3.89479055972652
5.52,-2.74917736649801
5.54,-2.36830699148577
5.56,-2.22752943849793
5.58,-2.12394830086608
5.6,-2.01991175472265
5.62,-1.9106469224531
5.64,-1.79762278393591
5.66,-1.68352555329413
5.68,-1.57129973272797
5.7,-1.46391201845427
5.72,-1.36416799674323
5.74,-1.27449000345315
5.76,-1.196708597497
5.78,-1.13193810759272
5.8,-1.08057154340642
5.82,-1.04238152090359
5.84,-1.01668154360926
5.86,-1.0024970807195
5.88,-0.998710913682725
5.9,-1.00416772242252
5.92,-1.01773839302313
5.94,-1.03835205119194
5.96,-1.06500538218567
5.98,-1.09675752976353
6,-1.1327171718943
6.02,-1.17202875177397
6.04,-1.21387162872581
6.06,-1.25750898722245
6.08,-1.302490420703
6.1,-1.34930329373
6.12,-1.40129633730312
6.14,-1.46994444318265
6.16,-1.58653525844109
6.18,-1.81100478375317
6.2,-2.17466313168422
6.22,-2.56427598708704
6.24,-2.8480251445153
6.26,-3.03896541786417
6.28,-3.19745274252339
6.3,-3.36019181800118
6.32,-3.54378261200511
6.34,-3.75652598293472
6.36,-4.00445843778479
6.38,-4.29396482061246
6.4,-4.63316752934358
6.42,-5.03314410390548
6.44,-5.50960054938902
6.46,-6.08573791759399
6.48,-6.79778735084454
6.5,-7.70699885610315
6.52,-8.92989567827074
6.54,-10.7347852829549
6.56,-14.0098543563552
6.58,-18.5601129574496
6.6,-12.3167763971133
6.62,-9.68740857220223
6.64,-8.04112847374702
6.66,-6.84977740342826
6.68,-5.92541724420231
6.7,-5.18017494356482
6.72,-4.56657963270679
6.74,-4.05734916491129
6.76,-3.63768146295294
6.78,-3.30154860109815
6.8,-3.03851573540496
6.82,-2.78514636141623
6.84,-2.46530317615242
6.86,-2.14851413431781
6.88,-1.89337160871478
6.9,-1.69039543362464
6.92,-1.52327631737564
6.94,-1.38200368273808
6.96,-1.26072370938484
6.98,-1.15570652010714
7,-1.06434294972042
7.02,-0.984674258908737
7.04,-0.915160102499583
7.06,-0.85455454034147
7.08,-0.801833882979451
7.1,-0.756151265370858
7.12,-0.716806166112842
7.14,-0.68322305094951
7.16,-0.654936128044464
7.18,-0.631578605269653
7.2,-0.612875591338311
